feature,importance
btyd_exp_orders_30d,4509396.210053349
btyd_log_exp_orders,2552280.4493167875
log1p_btyd_exp_orders_30d,1399110.917225647
to_ord_sum_180d,1213413.347051239
n_purchase_days_180d,1203299.3436798095
btyd_exp_gmv_30d,918279.4763523102
log1p_to_ord_sum_180d,807461.2701738358
log1p_n_purchase_days_180d,594338.2700992584
btyd_log_exp_gmv,494015.68245849607
n_purchase_days,356566.79010157584
to_ord_sum_365d,325552.50922203064
log1p_btyd_exp_gmv_30d,250956.8854763031
std_purchase_gap,180175.95395755768
log1p_n_purchase_days_90d,175394.14304981232
purchase_frequency,167984.42636585236
log1p_to_ord_sum_365d,149357.75605487823
n_purchase_days_90d,121013.97280311584
n_purchase_days_365d,81886.06412849427
to_ord_sum_90d,76159.00936832427
searches_sum_14d,61927.02229480744
ema_gmv_90d,57818.087695503236
total_purchase_gmv,54154.91791744232
gmv_sum_365d,52918.985136413576
searches_sum_7d,45366.782078611854
to_ord_sum_60d,42637.091617012025
log1p_std_purchase_gap,40980.84663791656
log1p_to_ord_sum_90d,40181.43849391937
n_active_days_7d,38064.736636543275
recency_days,34665.70800338387
mean_purchase_gap,31033.360421562196
ema_gmv_60d,30596.985209655762
log1p_purchase_frequency,29632.53224067688
first_purchase_days,28453.50786895752
n_active_days_14d,28028.952754592894
log1p_ema_gmv_60d,27962.959366989136
tenure_days,27845.50174436569
n_purchase_days_60d,27805.462925434113
max_purchase_gap,27050.379489803316
log1p_searches_sum_7d,26000.81358423233
searches_sum_30d,25894.51125049591
log1p_ema_gmv_90d,25611.51826915741
log1p_searches_sum_14d,25500.93226928711
gmv_sum_180d,25155.205731010436
activity_density_14d,23914.434496688842
log1p_total_purchase_gmv,23611.23515625
log1p_gmv_sum_180d,23115.840754890443
gmv_per_active_day_365d,23017.007599258424
search_to_ord_sum_365d,21803.02690629959
log1p_n_purchase_days,19064.990563201904
log1p_n_purchase_days_60d,18892.738667488098
searches_sum_365d,18563.08674528599
n_active_days_30d,18537.509455680847
ema_gmv_30d,18026.42165222168
to_ord_sum_30d,16350.723751831054
log1p_mean_purchase_gap,15825.617951774597
log1p_to_ord_sum_60d,15796.780972290038
recency_purchase_days,14726.811843109132
log_tenure_days,14554.760595369338
to_cart_sum_14d,14297.577639389037
log_recency_days,13960.044181442261
log1p_search_to_ord_sum_365d,13544.564646339417
log1p_gmv_per_active_day_365d,13218.964052200317
log1p_first_purchase_days,13037.218988227844
search_to_ord_sum_180d,12921.433971595765
btyd_total_gmv,12503.133382797241
activity_density_7d,12388.316928005219
gmv_search_sum_365d,12360.426316452027
avg_order_value_365d,11639.967562150956
to_cart_sum_30d,11488.811766242981
log1p_n_active_days_14d,10737.483446502685
to_cart_sum_7d,10484.169458007813
searches_sum_180d,10377.008538007736
cart_to_order_rate_365d,10325.148745536804
log1p_searches_sum_30d,10287.896221542358
n_purchase_days_30d,9899.115692329407
log1p_recency_days,9684.90918917656
log1p_gmv_sum_60d,9324.175277709961
n_active_days_total,9246.274612665176
gmv_per_active_day_180d,9160.992978668213
search_to_cart_sum_14d,9075.826062202454
gmv_old_60d,8957.617248725892
activity_density_30d,8785.755940437317
search_to_cart_rate_14d,8752.88830795288
gmv_sum_60d,8630.229240226745
log1p_gmv_sum_30d,8499.02429523468
log1p_searches_sum_365d,8255.051639175415
log1p_search_to_cart_sum_14d,8021.600051116943
log1p_to_cart_sum_14d,7766.0918231964115
log1p_gmv_search_sum_365d,7710.753458976746
searches_sum_60d,7703.969075107574
log1p_ema_gmv_30d,7608.5064527511595
gmv_sum_30d,7382.519851970673
log1p_tenure_days,7301.337511444091
gmv_ratio_90_365,7260.960251235962
activity_density_total,7253.481788539886
gmv_sum_90d,7082.568937778473
log1p_n_active_days_7d,6883.017680740357
search_to_cart_sum_30d,6826.3769647598265
n_active_days_180d,6727.535688400269
log1p_to_ord_sum_30d,6705.245978927613
search_to_ord_sum_30d,6695.106499290467
btyd_order_value,6432.968031311035
gmv_search_sum_180d,6373.902443122864
gmv_search_sum_60d,6336.733905410767
log1p_cart_to_order_rate_365d,6243.069634628296
search_to_cart_rate_365d,6150.257143187523
log1p_search_to_ord_sum_180d,5981.27259273529
avg_order_value_180d,5823.511710357666
avg_order_value_90d,5802.29578704834
log1p_activity_density_7d,5662.887307357788
